,idx,answer,predict,acc,dataset
827,827-kazakh,B,D,0,kazakh
828,828-kazakh,D,D,1,kazakh
829,829-kazakh,B,D,0,kazakh
830,830-kazakh,A,C,0,kazakh
831,831-kazakh,B,D,0,kazakh
832,832-kazakh,E,D,0,kazakh
833,833-kazakh,D,D,1,kazakh
834,834-kazakh,B,D,0,kazakh
835,835-kazakh,B,D,0,kazakh
836,836-kazakh,D,A,0,kazakh
837,837-kazakh,D,D,1,kazakh
838,838-kazakh,C,D,0,kazakh
839,839-kazakh,A,D,0,kazakh
840,840-kazakh,D,D,1,kazakh
841,841-kazakh,C,D,0,kazakh
842,842-kazakh,B,D,0,kazakh
843,843-kazakh,B,D,0,kazakh
844,844-kazakh,D,D,1,kazakh
845,845-kazakh,D,D,1,kazakh
846,846-kazakh,D,D,1,kazakh
847,847-kazakh,B,A,0,kazakh
848,848-kazakh,C,D,0,kazakh
849,849-kazakh,A,D,0,kazakh
850,850-kazakh,E,D,0,kazakh
851,851-kazakh,D,D,1,kazakh
852,852-kazakh,A,D,0,kazakh
853,853-kazakh,A,D,0,kazakh
854,854-kazakh,C,D,0,kazakh
855,855-kazakh,D,B,0,kazakh
856,856-kazakh,B,D,0,kazakh
857,857-kazakh,E,D,0,kazakh
858,858-kazakh,A,D,0,kazakh
859,859-kazakh,E,D,0,kazakh
860,860-kazakh,B,D,0,kazakh
861,861-kazakh,D,D,1,kazakh
862,862-kazakh,E,D,0,kazakh
863,863-kazakh,D,D,1,kazakh
864,864-kazakh,D,A,0,kazakh
865,865-kazakh,A,D,0,kazakh
866,866-kazakh,B,A,0,kazakh
867,867-kazakh,C,D,0,kazakh
868,868-kazakh,E,A,0,kazakh
869,869-kazakh,C,C,1,kazakh
870,870-kazakh,C,C,1,kazakh
871,871-kazakh,D,C,0,kazakh
872,872-kazakh,C,D,0,kazakh
873,873-kazakh,A,C,0,kazakh
874,874-kazakh,D,C,0,kazakh
875,875-kazakh,B,A,0,kazakh
876,876-kazakh,B,C,0,kazakh
877,877-kazakh,A,C,0,kazakh
878,878-kazakh,A,C,0,kazakh
879,879-kazakh,A,D,0,kazakh
880,880-kazakh,A,D,0,kazakh
881,881-kazakh,A,C,0,kazakh
882,882-kazakh,B,D,0,kazakh
883,883-kazakh,C,D,0,kazakh
884,884-kazakh,B,D,0,kazakh
885,885-kazakh,E,C,0,kazakh
886,886-kazakh,D,D,1,kazakh
887,887-kazakh,D,D,1,kazakh
888,888-kazakh,D,D,1,kazakh
889,889-kazakh,A,D,0,kazakh
890,890-kazakh,B,D,0,kazakh
891,891-kazakh,E,D,0,kazakh
892,892-kazakh,D,D,1,kazakh
893,893-kazakh,E,D,0,kazakh
894,894-kazakh,E,D,0,kazakh
895,895-kazakh,A,D,0,kazakh
896,896-kazakh,E,D,0,kazakh
897,897-kazakh,D,D,1,kazakh
898,898-kazakh,A,D,0,kazakh
899,899-kazakh,A,D,0,kazakh
900,900-kazakh,D,D,1,kazakh
901,901-kazakh,A,D,0,kazakh
902,902-kazakh,B,D,0,kazakh
903,903-kazakh,C,D,0,kazakh
904,904-kazakh,D,D,1,kazakh
905,905-kazakh,E,C,0,kazakh
906,906-kazakh,D,D,1,kazakh
907,907-kazakh,E,D,0,kazakh
908,908-kazakh,B,D,0,kazakh
909,909-kazakh,C,D,0,kazakh
910,910-kazakh,D,C,0,kazakh
911,911-kazakh,E,D,0,kazakh
912,912-kazakh,B,D,0,kazakh
913,913-kazakh,C,D,0,kazakh
914,914-kazakh,A,D,0,kazakh
915,915-kazakh,E,D,0,kazakh
916,916-kazakh,C,C,1,kazakh
917,917-kazakh,A,C,0,kazakh
918,918-kazakh,A,D,0,kazakh
919,919-kazakh,B,D,0,kazakh
920,920-kazakh,B,D,0,kazakh
921,921-kazakh,A,D,0,kazakh
922,922-kazakh,D,C,0,kazakh
923,923-kazakh,A,C,0,kazakh
924,924-kazakh,B,C,0,kazakh
925,925-kazakh,B,D,0,kazakh
926,926-kazakh,D,D,1,kazakh
927,927-kazakh,D,A,0,kazakh
928,928-kazakh,C,A,0,kazakh
929,929-kazakh,D,A,0,kazakh
930,930-kazakh,C,D,0,kazakh
931,931-kazakh,D,D,1,kazakh
932,932-kazakh,B,A,0,kazakh
933,933-kazakh,C,A,0,kazakh
934,934-kazakh,B,D,0,kazakh
935,935-kazakh,A,A,1,kazakh
936,936-kazakh,C,D,0,kazakh
937,937-kazakh,E,D,0,kazakh
938,938-kazakh,B,C,0,kazakh
939,939-kazakh,A,D,0,kazakh
940,940-kazakh,D,C,0,kazakh
941,941-kazakh,B,D,0,kazakh
942,942-kazakh,E,C,0,kazakh
943,943-kazakh,D,D,1,kazakh
944,944-kazakh,A,C,0,kazakh
945,945-kazakh,B,A,0,kazakh
946,946-kazakh,D,D,1,kazakh
947,947-kazakh,D,A,0,kazakh
948,948-kazakh,A,D,0,kazakh
949,949-kazakh,C,D,0,kazakh
950,950-kazakh,E,D,0,kazakh
951,951-kazakh,D,C,0,kazakh
952,952-kazakh,C,A,0,kazakh
953,953-kazakh,A,D,0,kazakh
954,954-kazakh,C,D,0,kazakh
955,955-kazakh,B,D,0,kazakh
956,956-kazakh,C,D,0,kazakh
957,957-kazakh,E,D,0,kazakh
958,958-kazakh,E,D,0,kazakh
959,959-kazakh,B,D,0,kazakh
960,960-kazakh,E,A,0,kazakh
961,961-kazakh,B,D,0,kazakh
962,962-kazakh,D,D,1,kazakh
963,963-kazakh,C,D,0,kazakh
964,964-kazakh,C,D,0,kazakh
965,965-kazakh,A,C,0,kazakh
966,966-kazakh,A,D,0,kazakh
967,967-kazakh,D,C,0,kazakh
968,968-kazakh,D,A,0,kazakh
969,969-kazakh,B,D,0,kazakh
970,970-kazakh,D,D,1,kazakh
971,971-kazakh,A,C,0,kazakh
972,972-kazakh,A,A,1,kazakh
973,973-kazakh,B,C,0,kazakh
974,974-kazakh,A,D,0,kazakh
975,975-kazakh,E,D,0,kazakh
976,976-kazakh,E,A,0,kazakh
977,977-kazakh,D,D,1,kazakh
978,978-kazakh,C,C,1,kazakh
979,979-kazakh,A,D,0,kazakh
980,980-kazakh,D,D,1,kazakh
981,981-kazakh,A,C,0,kazakh
982,982-kazakh,D,C,0,kazakh
983,983-kazakh,E,D,0,kazakh
984,984-kazakh,A,C,0,kazakh
985,985-kazakh,A,D,0,kazakh
986,986-kazakh,E,D,0,kazakh
987,987-kazakh,B,C,0,kazakh
988,988-kazakh,B,D,0,kazakh
989,989-kazakh,D,D,1,kazakh
990,990-kazakh,E,A,0,kazakh
991,991-kazakh,B,C,0,kazakh
992,992-kazakh,A,D,0,kazakh
993,993-kazakh,B,D,0,kazakh
994,994-kazakh,B,D,0,kazakh
995,995-kazakh,E,D,0,kazakh
996,996-kazakh,E,D,0,kazakh
997,997-kazakh,D,C,0,kazakh
998,998-kazakh,C,C,1,kazakh
999,999-kazakh,D,D,1,kazakh
1000,1000-kazakh,C,D,0,kazakh
1001,1001-kazakh,B,D,0,kazakh
1002,1002-kazakh,D,D,1,kazakh
1003,1003-kazakh,B,D,0,kazakh
1004,1004-kazakh,E,D,0,kazakh
1005,1005-kazakh,C,C,1,kazakh
1006,1006-kazakh,D,D,1,kazakh
1007,1007-kazakh,A,D,0,kazakh
1008,1008-kazakh,A,C,0,kazakh
1009,1009-kazakh,D,C,0,kazakh
1010,1010-kazakh,B,D,0,kazakh
1011,1011-kazakh,E,D,0,kazakh
1012,1012-kazakh,A,D,0,kazakh
1013,1013-kazakh,E,D,0,kazakh
1014,1014-kazakh,B,D,0,kazakh
1015,1015-kazakh,C,A,0,kazakh
1016,1016-kazakh,A,D,0,kazakh
1017,1017-kazakh,A,C,0,kazakh
1018,1018-kazakh,A,H,0,kazakh
1019,1019-kazakh,C,C,1,kazakh
1020,1020-kazakh,C,A,0,kazakh
1021,1021-kazakh,E,D,0,kazakh
1022,1022-kazakh,C,C,1,kazakh
1023,1023-kazakh,C,D,0,kazakh
1024,1024-kazakh,D,C,0,kazakh
1025,1025-kazakh,C,D,0,kazakh
1026,1026-kazakh,E,C,0,kazakh
1027,1027-kazakh,C,D,0,kazakh
1028,1028-kazakh,B,D,0,kazakh
1029,1029-kazakh,E,D,0,kazakh
1030,1030-kazakh,D,D,1,kazakh
1031,1031-kazakh,E,A,0,kazakh
1032,1032-kazakh,D,C,0,kazakh
1033,1033-kazakh,C,D,0,kazakh
1034,1034-kazakh,A,C,0,kazakh
1035,1035-kazakh,D,D,1,kazakh
1036,1036-kazakh,E,D,0,kazakh
1037,1037-kazakh,B,D,0,kazakh
1038,1038-kazakh,E,C,0,kazakh
1039,1039-kazakh,D,A,0,kazakh
1040,1040-kazakh,A,D,0,kazakh
1041,1041-kazakh,E,D,0,kazakh
1042,1042-kazakh,D,D,1,kazakh
1043,1043-kazakh,C,D,0,kazakh
1044,1044-kazakh,C,C,1,kazakh
1045,1045-kazakh,B,D,0,kazakh
1046,1046-kazakh,E,A,0,kazakh
1047,1047-kazakh,B,D,0,kazakh
1048,1048-kazakh,E,D,0,kazakh
1049,1049-kazakh,A,B,0,kazakh
1050,1050-kazakh,B,D,0,kazakh
1051,1051-kazakh,C,D,0,kazakh
1052,1052-kazakh,B,A,0,kazakh
1053,1053-kazakh,A,C,0,kazakh
1054,1054-kazakh,E,D,0,kazakh
1055,1055-kazakh,E,C,0,kazakh
1056,1056-kazakh,C,D,0,kazakh
1057,1057-kazakh,E,A,0,kazakh
1058,1058-kazakh,C,D,0,kazakh
1059,1059-kazakh,C,D,0,kazakh
1060,1060-kazakh,A,A,1,kazakh
1061,1061-kazakh,A,D,0,kazakh
1062,1062-kazakh,B,D,0,kazakh
1063,1063-kazakh,B,D,0,kazakh
1064,1064-kazakh,B,D,0,kazakh
1065,1065-kazakh,E,A,0,kazakh
1066,1066-kazakh,A,C,0,kazakh
1067,1067-kazakh,A,A,1,kazakh
1068,1068-kazakh,A,D,0,kazakh
1069,1069-kazakh,C,D,0,kazakh
1070,1070-kazakh,E,D,0,kazakh
1071,1071-kazakh,C,D,0,kazakh
1072,1072-kazakh,B,D,0,kazakh
1073,1073-kazakh,E,A,0,kazakh
1074,1074-kazakh,D,D,1,kazakh
1075,1075-kazakh,D,D,1,kazakh
1076,1076-kazakh,E,D,0,kazakh
1077,1077-kazakh,B,D,0,kazakh
1078,1078-kazakh,B,D,0,kazakh
1079,1079-kazakh,D,D,1,kazakh
1080,1080-kazakh,A,D,0,kazakh
1081,1081-kazakh,C,A,0,kazakh
1082,1082-kazakh,D,D,1,kazakh
1083,1083-kazakh,A,D,0,kazakh
1084,1084-kazakh,A,C,0,kazakh
1085,1085-kazakh,C,D,0,kazakh
1086,1086-kazakh,D,A,0,kazakh
1087,1087-kazakh,B,D,0,kazakh
1088,1088-kazakh,A,D,0,kazakh
1089,1089-kazakh,B,C,0,kazakh
1090,1090-kazakh,D,D,1,kazakh
1091,1091-kazakh,E,C,0,kazakh
1092,1092-kazakh,B,D,0,kazakh
1093,1093-kazakh,C,D,0,kazakh
1094,1094-kazakh,B,C,0,kazakh
1095,1095-kazakh,D,D,1,kazakh
1096,1096-kazakh,D,D,1,kazakh
1097,1097-kazakh,A,A,1,kazakh
1098,1098-kazakh,C,D,0,kazakh
1099,1099-kazakh,D,D,1,kazakh
1100,1100-kazakh,E,D,0,kazakh
1101,1101-kazakh,D,C,0,kazakh
1102,1102-kazakh,E,D,0,kazakh
1103,1103-kazakh,E,D,0,kazakh
1104,1104-kazakh,D,D,1,kazakh
1105,1105-kazakh,B,D,0,kazakh
1106,1106-kazakh,D,D,1,kazakh
1107,1107-kazakh,E,D,0,kazakh
1108,1108-kazakh,E,C,0,kazakh
1109,1109-kazakh,D,C,0,kazakh
1110,1110-kazakh,E,A,0,kazakh
1111,1111-kazakh,C,D,0,kazakh
1112,1112-kazakh,D,D,1,kazakh
1113,1113-kazakh,C,D,0,kazakh
1114,1114-kazakh,E,D,0,kazakh
1115,1115-kazakh,D,D,1,kazakh
1116,1116-kazakh,D,D,1,kazakh
1117,1117-kazakh,D,C,0,kazakh
1118,1118-kazakh,E,C,0,kazakh
1119,1119-kazakh,C,C,1,kazakh
1120,1120-kazakh,A,D,0,kazakh
1121,1121-kazakh,C,D,0,kazakh
1122,1122-kazakh,E,D,0,kazakh
1123,1123-kazakh,E,D,0,kazakh
1124,1124-kazakh,C,C,1,kazakh
1125,1125-kazakh,E,C,0,kazakh
1126,1126-kazakh,A,D,0,kazakh
1127,1127-kazakh,B,D,0,kazakh
1128,1128-kazakh,A,D,0,kazakh
1129,1129-kazakh,C,D,0,kazakh
1130,1130-kazakh,A,C,0,kazakh
1131,1131-kazakh,E,A,0,kazakh
1132,1132-kazakh,E,A,0,kazakh
1133,1133-kazakh,D,C,0,kazakh
1134,1134-kazakh,A,D,0,kazakh
1135,1135-kazakh,A,D,0,kazakh
1136,1136-kazakh,D,D,1,kazakh
1137,1137-kazakh,A,A,1,kazakh
1138,1138-kazakh,A,A,1,kazakh
1139,1139-kazakh,E,A,0,kazakh
1140,1140-kazakh,B,A,0,kazakh
1141,1141-kazakh,A,A,1,kazakh
1142,1142-kazakh,B,D,0,kazakh
1143,1143-kazakh,E,A,0,kazakh
1144,1144-kazakh,A,C,0,kazakh
1145,1145-kazakh,C,D,0,kazakh
1146,1146-kazakh,E,C,0,kazakh
1147,1147-kazakh,A,D,0,kazakh
1148,1148-kazakh,D,D,1,kazakh
1149,1149-kazakh,A,D,0,kazakh
1150,1150-kazakh,E,C,0,kazakh
1151,1151-kazakh,B,D,0,kazakh
1152,1152-kazakh,C,D,0,kazakh
1153,1153-kazakh,C,C,1,kazakh
1154,1154-kazakh,D,A,0,kazakh
1155,1155-kazakh,D,D,1,kazakh
1156,1156-kazakh,C,D,0,kazakh
1157,1157-kazakh,B,D,0,kazakh
1158,1158-kazakh,D,D,1,kazakh
1159,1159-kazakh,C,A,0,kazakh
1160,1160-kazakh,E,A,0,kazakh
1161,1161-kazakh,C,D,0,kazakh
1162,1162-kazakh,B,A,0,kazakh
1163,1163-kazakh,B,D,0,kazakh
1164,1164-kazakh,E,D,0,kazakh
1165,1165-kazakh,E,C,0,kazakh
1166,1166-kazakh,E,C,0,kazakh
1167,1167-kazakh,D,A,0,kazakh
1168,1168-kazakh,C,D,0,kazakh
1169,1169-kazakh,B,D,0,kazakh
1170,1170-kazakh,A,D,0,kazakh
1171,1171-kazakh,E,D,0,kazakh
1172,1172-kazakh,D,C,0,kazakh
1173,1173-kazakh,A,C,0,kazakh
1174,1174-kazakh,D,D,1,kazakh
1175,1175-kazakh,B,D,0,kazakh
1176,1176-kazakh,E,D,0,kazakh
1177,1177-kazakh,B,D,0,kazakh
1178,1178-kazakh,D,D,1,kazakh
1179,1179-kazakh,A,D,0,kazakh
1180,1180-kazakh,A,C,0,kazakh
1181,1181-kazakh,B,A,0,kazakh
1182,1182-kazakh,E,D,0,kazakh
1183,1183-kazakh,C,D,0,kazakh
1184,1184-kazakh,B,D,0,kazakh
1185,1185-kazakh,E,D,0,kazakh
1186,1186-kazakh,C,D,0,kazakh
1187,1187-kazakh,C,D,0,kazakh
1188,1188-kazakh,D,D,1,kazakh
1189,1189-kazakh,B,D,0,kazakh
1190,1190-kazakh,D,A,0,kazakh
1191,1191-kazakh,E,D,0,kazakh
1192,1192-kazakh,A,D,0,kazakh
1193,1193-kazakh,D,D,1,kazakh
1194,1194-kazakh,C,D,0,kazakh
1195,1195-kazakh,D,D,1,kazakh
1196,1196-kazakh,C,D,0,kazakh
1197,1197-kazakh,D,D,1,kazakh
1198,1198-kazakh,D,D,1,kazakh
1199,1199-kazakh,E,D,0,kazakh
1200,1200-kazakh,C,C,1,kazakh
1201,1201-kazakh,E,D,0,kazakh
1202,1202-kazakh,C,D,0,kazakh
1203,1203-kazakh,A,D,0,kazakh
1204,1204-kazakh,A,D,0,kazakh
1205,1205-kazakh,D,D,1,kazakh
1206,1206-kazakh,B,B,1,kazakh
1207,1207-kazakh,D,D,1,kazakh
1208,1208-kazakh,E,D,0,kazakh
1209,1209-kazakh,A,D,0,kazakh
1210,1210-kazakh,C,A,0,kazakh
1211,1211-kazakh,E,D,0,kazakh
1212,1212-kazakh,C,D,0,kazakh
1213,1213-kazakh,B,D,0,kazakh
1214,1214-kazakh,C,D,0,kazakh
1215,1215-kazakh,C,D,0,kazakh
1216,1216-kazakh,E,C,0,kazakh
1217,1217-kazakh,A,D,0,kazakh
1218,1218-kazakh,E,C,0,kazakh
1219,1219-kazakh,E,D,0,kazakh
1220,1220-kazakh,E,C,0,kazakh
1221,1221-kazakh,B,D,0,kazakh
1222,1222-kazakh,B,D,0,kazakh
1223,1223-kazakh,A,D,0,kazakh
1224,1224-kazakh,C,D,0,kazakh
1225,1225-kazakh,A,D,0,kazakh
1226,1226-kazakh,E,D,0,kazakh
1227,1227-kazakh,E,D,0,kazakh
1228,1228-kazakh,C,D,0,kazakh
1229,1229-kazakh,B,D,0,kazakh
1230,1230-kazakh,A,D,0,kazakh
1231,1231-kazakh,E,A,0,kazakh
1232,1232-kazakh,B,D,0,kazakh
1233,1233-kazakh,B,D,0,kazakh
1234,1234-kazakh,B,D,0,kazakh
1235,1235-kazakh,D,C,0,kazakh
1236,1236-kazakh,D,D,1,kazakh
1237,1237-kazakh,D,D,1,kazakh
1238,1238-kazakh,C,D,0,kazakh
1239,1239-kazakh,C,D,0,kazakh
1240,1240-kazakh,D,D,1,kazakh
1241,1241-kazakh,C,D,0,kazakh
1242,1242-kazakh,A,C,0,kazakh
1243,1243-kazakh,A,C,0,kazakh
1244,1244-kazakh,A,C,0,kazakh
1245,1245-kazakh,A,C,0,kazakh
1246,1246-kazakh,D,D,1,kazakh
1247,1247-kazakh,A,D,0,kazakh
1248,1248-kazakh,B,D,0,kazakh
1249,1249-kazakh,A,D,0,kazakh
1250,1250-kazakh,B,C,0,kazakh
1251,1251-kazakh,E,C,0,kazakh
1252,1252-kazakh,C,D,0,kazakh
1253,1253-kazakh,A,D,0,kazakh
1254,1254-kazakh,E,D,0,kazakh
1255,1255-kazakh,A,D,0,kazakh
1256,1256-kazakh,D,D,1,kazakh
1257,1257-kazakh,C,D,0,kazakh
1258,1258-kazakh,A,D,0,kazakh
1259,1259-kazakh,C,D,0,kazakh
1260,1260-kazakh,D,D,1,kazakh
1261,1261-kazakh,E,A,0,kazakh
1262,1262-kazakh,A,D,0,kazakh
1263,1263-kazakh,C,D,0,kazakh
1264,1264-kazakh,E,D,0,kazakh
1265,1265-kazakh,B,D,0,kazakh
1266,1266-kazakh,B,D,0,kazakh
1267,1267-kazakh,C,D,0,kazakh
1268,1268-kazakh,D,D,1,kazakh
1269,1269-kazakh,E,D,0,kazakh
1270,1270-kazakh,C,D,0,kazakh
1271,1271-kazakh,B,D,0,kazakh
1272,1272-kazakh,A,D,0,kazakh
1273,1273-kazakh,C,D,0,kazakh
1274,1274-kazakh,C,D,0,kazakh
1275,1275-kazakh,C,D,0,kazakh
1276,1276-kazakh,D,D,1,kazakh
1277,1277-kazakh,B,D,0,kazakh
1278,1278-kazakh,C,D,0,kazakh
1279,1279-kazakh,C,H,0,kazakh
1280,1280-kazakh,B,D,0,kazakh
1281,1281-kazakh,A,D,0,kazakh
1282,1282-kazakh,D,D,1,kazakh
1283,1283-kazakh,E,D,0,kazakh
1284,1284-kazakh,A,D,0,kazakh
1285,1285-kazakh,A,D,0,kazakh
1286,1286-kazakh,B,C,0,kazakh
1287,1287-kazakh,B,D,0,kazakh
1288,1288-kazakh,C,D,0,kazakh
1289,1289-kazakh,C,D,0,kazakh
1290,1290-kazakh,C,C,1,kazakh
1291,1291-kazakh,C,D,0,kazakh
1292,1292-kazakh,C,C,1,kazakh
1293,1293-kazakh,C,C,1,kazakh
1294,1294-kazakh,C,C,1,kazakh
1295,1295-kazakh,C,C,1,kazakh
1296,1296-kazakh,C,C,1,kazakh
1297,1297-kazakh,C,C,1,kazakh
1298,1298-kazakh,C,C,1,kazakh
1299,1299-kazakh,C,D,0,kazakh
1300,1300-kazakh,A,D,0,kazakh
1301,1301-kazakh,E,D,0,kazakh
1302,1302-kazakh,D,D,1,kazakh
1303,1303-kazakh,E,C,0,kazakh
1304,1304-kazakh,D,D,1,kazakh
1305,1305-kazakh,E,D,0,kazakh
1306,1306-kazakh,B,D,0,kazakh
1307,1307-kazakh,B,D,0,kazakh
1308,1308-kazakh,D,D,1,kazakh
1309,1309-kazakh,A,D,0,kazakh
1310,1310-kazakh,B,D,0,kazakh
1311,1311-kazakh,A,D,0,kazakh
1312,1312-kazakh,E,D,0,kazakh
1313,1313-kazakh,D,C,0,kazakh
1314,1314-kazakh,D,D,1,kazakh
1315,1315-kazakh,B,D,0,kazakh
1316,1316-kazakh,A,C,0,kazakh
1317,1317-kazakh,B,C,0,kazakh
1318,1318-kazakh,A,D,0,kazakh
1319,1319-kazakh,E,D,0,kazakh
1320,1320-kazakh,A,A,1,kazakh
1321,1321-kazakh,B,A,0,kazakh
1322,1322-kazakh,D,A,0,kazakh
1323,1323-kazakh,E,A,0,kazakh
1324,1324-kazakh,E,A,0,kazakh
1325,1325-kazakh,B,A,0,kazakh
1326,1326-kazakh,B,A,0,kazakh
1327,1327-kazakh,D,A,0,kazakh
1328,1328-kazakh,D,C,0,kazakh
1329,1329-kazakh,C,D,0,kazakh
1330,1330-kazakh,C,D,0,kazakh
1331,1331-kazakh,C,A,0,kazakh
1332,1332-kazakh,B,A,0,kazakh
1333,1333-kazakh,D,D,1,kazakh
1334,1334-kazakh,B,D,0,kazakh
1335,1335-kazakh,D,D,1,kazakh
1336,1336-kazakh,D,A,0,kazakh
1337,1337-kazakh,D,D,1,kazakh
1338,1338-kazakh,B,D,0,kazakh
1339,1339-kazakh,B,D,0,kazakh
1340,1340-kazakh,B,D,0,kazakh
1341,1341-kazakh,C,D,0,kazakh
1342,1342-kazakh,A,D,0,kazakh
1343,1343-kazakh,A,D,0,kazakh
1344,1344-kazakh,A,D,0,kazakh
1345,1345-kazakh,B,D,0,kazakh
1346,1346-kazakh,B,D,0,kazakh
1347,1347-kazakh,C,D,0,kazakh
1348,1348-kazakh,B,C,0,kazakh
1349,1349-kazakh,E,D,0,kazakh
1350,1350-kazakh,A,D,0,kazakh
1351,1351-kazakh,D,D,1,kazakh
1352,1352-kazakh,C,D,0,kazakh
1353,1353-kazakh,E,D,0,kazakh
1354,1354-kazakh,D,D,1,kazakh
1355,1355-kazakh,A,D,0,kazakh
1356,1356-kazakh,E,D,0,kazakh
1357,1357-kazakh,E,D,0,kazakh
1358,1358-kazakh,D,D,1,kazakh
1359,1359-kazakh,D,A,0,kazakh
1360,1360-kazakh,D,D,1,kazakh
1361,1361-kazakh,E,D,0,kazakh
1362,1362-kazakh,E,D,0,kazakh
1363,1363-kazakh,A,D,0,kazakh
1364,1364-kazakh,E,D,0,kazakh
1365,1365-kazakh,E,D,0,kazakh
1366,1366-kazakh,A,D,0,kazakh
1367,1367-kazakh,D,A,0,kazakh
1368,1368-kazakh,E,D,0,kazakh
1369,1369-kazakh,B,D,0,kazakh
1370,1370-kazakh,A,D,0,kazakh
1371,1371-kazakh,D,D,1,kazakh
1372,1372-kazakh,A,D,0,kazakh
1373,1373-kazakh,B,A,0,kazakh
1374,1374-kazakh,B,D,0,kazakh
1375,1375-kazakh,D,D,1,kazakh
1376,1376-kazakh,E,D,0,kazakh
1377,1377-kazakh,E,D,0,kazakh
1378,1378-kazakh,A,D,0,kazakh
1379,1379-kazakh,A,C,0,kazakh
1380,1380-kazakh,D,D,1,kazakh
1381,1381-kazakh,C,C,1,kazakh
1382,1382-kazakh,E,D,0,kazakh
1383,1383-kazakh,A,D,0,kazakh
1384,1384-kazakh,A,D,0,kazakh
1385,1385-kazakh,D,D,1,kazakh
1386,1386-kazakh,A,D,0,kazakh
1387,1387-kazakh,C,D,0,kazakh
1388,1388-kazakh,E,D,0,kazakh
1389,1389-kazakh,A,A,1,kazakh
1390,1390-kazakh,A,D,0,kazakh
1391,1391-kazakh,E,D,0,kazakh
1392,1392-kazakh,D,D,1,kazakh
1393,1393-kazakh,C,D,0,kazakh
1394,1394-kazakh,C,D,0,kazakh
1395,1395-kazakh,D,D,1,kazakh
1396,1396-kazakh,D,D,1,kazakh
1397,1397-kazakh,C,D,0,kazakh
1398,1398-kazakh,E,C,0,kazakh
1399,1399-kazakh,D,D,1,kazakh
1400,1400-kazakh,E,D,0,kazakh
1401,1401-kazakh,B,D,0,kazakh
1402,1402-kazakh,D,A,0,kazakh
1403,1403-kazakh,C,D,0,kazakh
1404,1404-kazakh,C,D,0,kazakh
1405,1405-kazakh,A,B,0,kazakh
1406,1406-kazakh,A,C,0,kazakh
1407,1407-kazakh,D,D,1,kazakh
1408,1408-kazakh,C,D,0,kazakh
1409,1409-kazakh,B,D,0,kazakh
1410,1410-kazakh,D,A,0,kazakh
1411,1411-kazakh,E,D,0,kazakh
1412,1412-kazakh,A,A,1,kazakh
1413,1413-kazakh,E,D,0,kazakh
1414,1414-kazakh,E,D,0,kazakh
1415,1415-kazakh,E,D,0,kazakh
1416,1416-kazakh,A,D,0,kazakh
1417,1417-kazakh,A,D,0,kazakh
1418,1418-kazakh,A,D,0,kazakh
1419,1419-kazakh,C,D,0,kazakh
1420,1420-kazakh,C,D,0,kazakh
1421,1421-kazakh,B,D,0,kazakh
1422,1422-kazakh,A,D,0,kazakh
1423,1423-kazakh,B,D,0,kazakh
1424,1424-kazakh,A,D,0,kazakh
1425,1425-kazakh,B,A,0,kazakh
1426,1426-kazakh,C,D,0,kazakh
1427,1427-kazakh,D,C,0,kazakh
1428,1428-kazakh,B,D,0,kazakh
1429,1429-kazakh,A,A,1,kazakh
1430,1430-kazakh,E,D,0,kazakh
1431,1431-kazakh,B,D,0,kazakh
1432,1432-kazakh,E,D,0,kazakh
1433,1433-kazakh,E,D,0,kazakh
1434,1434-kazakh,E,C,0,kazakh
1435,1435-kazakh,B,D,0,kazakh
1436,1436-kazakh,D,D,1,kazakh
1437,1437-kazakh,B,D,0,kazakh
1438,1438-kazakh,B,C,0,kazakh
1439,1439-kazakh,C,D,0,kazakh
1440,1440-kazakh,D,C,0,kazakh
1441,1441-kazakh,A,D,0,kazakh
1442,1442-kazakh,B,D,0,kazakh
1443,1443-kazakh,C,D,0,kazakh
1444,1444-kazakh,C,D,0,kazakh
1445,1445-kazakh,A,D,0,kazakh
1446,1446-kazakh,B,D,0,kazakh
1447,1447-kazakh,E,D,0,kazakh
1448,1448-kazakh,D,D,1,kazakh
1449,1449-kazakh,E,D,0,kazakh
1450,1450-kazakh,D,D,1,kazakh
1451,1451-kazakh,D,D,1,kazakh
1452,1452-kazakh,E,D,0,kazakh
1453,1453-kazakh,E,D,0,kazakh
1454,1454-kazakh,C,D,0,kazakh
1455,1455-kazakh,C,D,0,kazakh
1456,1456-kazakh,D,D,1,kazakh
1457,1457-kazakh,D,D,1,kazakh
1458,1458-kazakh,B,D,0,kazakh
1459,1459-kazakh,A,D,0,kazakh
1460,1460-kazakh,E,D,0,kazakh
1461,1461-kazakh,B,D,0,kazakh
1462,1462-kazakh,B,D,0,kazakh
1463,1463-kazakh,C,D,0,kazakh
1464,1464-kazakh,A,A,1,kazakh
1465,1465-kazakh,D,A,0,kazakh
1466,1466-kazakh,A,D,0,kazakh
1467,1467-kazakh,C,C,1,kazakh
1468,1468-kazakh,E,D,0,kazakh
1469,1469-kazakh,C,D,0,kazakh
1470,1470-kazakh,E,C,0,kazakh
1471,1471-kazakh,B,D,0,kazakh
1472,1472-kazakh,E,D,0,kazakh
1473,1473-kazakh,A,D,0,kazakh
1474,1474-kazakh,E,D,0,kazakh
1475,1475-kazakh,C,D,0,kazakh
1476,1476-kazakh,C,D,0,kazakh
1477,1477-kazakh,E,C,0,kazakh
